Date,Hour,Count,Temp,Rain,Wind,Humidity,Snow,Visibility
2017-01-01,0,80.0,0.0,0.0,1.4,78.0,0.0,549.0
2017-01-01,1,83.0,0.0,0.0,1.4,78.0,0.0,549.0
2017-01-01,2,62.0,-0.3,0.0,1.9,81.0,0.0,483.0
2017-01-01,3,37.0,-0.7,0.0,2.0,84.0,0.0,436.0
2017-01-01,4,24.0,-1.1,0.0,1.6,85.0,0.0,430.0
2017-01-01,5,27.0,-1.3999999999999997,0.0,1.3999999999999997,86.0,0.0,381.0
2017-01-01,6,21.0,-1.5,0.0,1.6,87.0,0.0,365.0
2017-01-01,7,40.0,-1.5,0.0,1.4,87.0,0.0,368.0
2017-01-01,8,51.0,-1.3,0.0,1.4,87.0,0.0,355.0
2017-01-01,9,52.0,-0.4,0.0,1.6,83.0,0.0,384.0
2017-01-01,10,70.0,0.8,0.0,2.1,77.0,0.0,422.0
2017-01-01,11,76.0,2.5,0.0,1.9000000000000001,71.0,0.0,418.0
2017-01-01,12,124.0,4.0,0.0,1.3,69.0,0.0,433.0
2017-01-01,13,123.0,5.1,0.0,1.4,65.0,0.0,430.0
2017-01-01,14,165.0,6.700000000000001,0.0,0.7,61.0,0.0,442.0
2017-01-01,15,194.0,6.9,0.0,0.9000000000000001,65.0,0.0,471.0
2017-01-01,16,183.0,6.8,0.0,1.2,67.0,0.0,491.0
2017-01-01,17,179.0,6.5,0.0,0.7,69.0,0.0,435.0
2017-01-01,18,131.0,5.6,0.0,2.4,70.0,0.0,384.0
2017-01-01,19,119.0,4.8,0.0,2.2,73.0,0.0,383.0
2017-01-01,20,136.0,4.2,0.0,1.9,73.0,0.0,383.0
2017-01-01,21,140.0,4.0,0.0,2.6,74.0,0.0,366.0
2017-01-01,22,100.0,3.9,0.0,1.4,75.0,0.0,359.0
2017-01-01,23,90.0,3.9,0.0,1.4,75.0,0.0,357.0
2017-01-02,0,71.0,3.9,0.0,1.5,75.0,0.0,359.0
2017-01-02,1,44.0,3.8999999999999995,0.0,2.1,75.0,0.0,345.0
2017-01-02,2,30.0,3.8,0.0,2.2,77.0,0.0,330.0
2017-01-02,3,28.0,3.7,0.0,1.7,76.0,0.0,339.0
2017-01-02,4,16.0,3.7,0.0,1.5,77.0,0.0,331.0
2017-01-02,5,15.0,3.7,0.0,1.5,80.0,0.0,328.0
2017-01-02,6,51.0,3.6,0.3,1.1,89.0,0.0,170.0
2017-01-02,7,148.0,3.6,0.0,1.1,88.0,0.0,198.0
2017-01-02,8,343.0,3.8000000000000003,0.0,1.4,87.0,0.0,224.0
2017-01-02,9,154.0,4.1,0.0,0.8999999999999999,87.0,0.0,216.0
2017-01-02,10,112.0,5.2,0.0,2.4,86.0,0.0,305.0
2017-01-02,11,140.0,6.3,0.0,2.3,82.0,0.0,294.0
2017-01-02,12,180.0,7.6,0.0,2.1,70.0,0.0,409.0
2017-01-02,13,177.0,8.1,0.0,3.1,69.0,0.0,367.0
2017-01-02,14,168.0,9.2,0.0,3.1,59.0,0.0,331.0
2017-01-02,15,211.0,8.3,0.0,3.6,64.0,0.0,305.0
2017-01-02,16,209.0,8.0,0.0,3.2,65.0,0.0,262.0
2017-01-02,17,222.0,7.1,0.0,2.3,69.0,0.0,247.0
2017-01-02,18,449.0,6.400000000000001,0.0,2.1,73.0,0.0,221.0
2017-01-02,19,276.0,6.0,0.0,2.0,78.0,0.0,193.0
2017-01-02,20,206.0,5.0,0.0,3.2,81.0,0.0,184.0
2017-01-02,21,228.0,4.3,0.0,3.1000000000000005,84.0,0.0,164.0
2017-01-02,22,177.0,3.7,0.0,3.0,78.0,0.0,197.0
2017-01-02,23,141.0,2.8,0.0,2.8,76.0,0.0,224.0
2017-01-03,0,79.0,1.8,0.0,1.5,79.0,0.0,205.0
2017-01-03,1,62.0,1.0,0.0,2.6,82.0,0.0,194.0
2017-01-03,2,39.0,0.2,0.0,1.4,83.0,0.0,213.0
2017-01-03,3,28.0,-0.7,0.0,0.8,79.0,0.0,275.0
2017-01-03,4,20.0,-1.0,0.0,2.2,72.0,0.0,363.0
2017-01-03,5,27.0,-1.3,0.0,1.9,73.0,0.0,390.0
2017-01-03,6,78.0,-1.8,0.0,1.4,73.0,0.0,385.0
2017-01-03,7,182.0,-2.1,0.0,1.4,72.0,0.0,494.0
2017-01-03,8,431.0,-2.1,0.0,1.2,67.0,0.0,593.0
2017-01-03,9,191.0,-1.4,0.0,0.1,60.0,0.0,621.0
2017-01-03,10,114.0,1.1,0.0,0.8,55.0,0.0,572.0
2017-01-03,11,164.0,4.1,0.0,1.2,53.0,0.0,628.0
2017-01-03,12,195.0,5.9,0.0,2.4,44.0,0.0,684.0
2017-01-03,13,194.0,7.0,0.0,3.0,39.0,0.0,760.0
2017-01-03,14,203.0,7.0,0.0,3.1999999999999997,43.0,0.0,790.0
2017-01-03,15,175.0,7.2,0.0,3.7,47.0,0.0,904.0
2017-01-03,16,177.0,6.9,0.0,3.3,48.0,0.0,981.0
2017-01-03,17,191.0,5.3,0.0,2.8,56.0,0.0,1629.0
2017-01-03,18,448.0,3.7999999999999994,0.0,2.6,60.0,0.0,1689.0
2017-01-03,19,284.0,2.8,0.0,1.9,61.0,0.0,1860.0
2017-01-03,20,216.0,2.2,0.0,2.1,61.0,0.0,1986.0
